id,company_id_datasetA,number_matches_datasetB,valid
1344,211583,1,true
1345,211606,1,true
1346,211640,1,true
1347,211669,1,true
1348,211705,1,true
1349,211722,1,true
1350,211752,1,true
1351,211876,1,true
1352,211992,1,true
1353,212152,1,true
1354,212173,1,true
1355,212203,1,true
1356,212273,1,true
1357,212368,1,true
1358,212395,1,true
1359,212401,42,true
1360,212535,1,true
1361,212554,1,true
1362,212634,1,true
1363,212872,2,true
1364,212984,1,true
1365,212987,42,true
1366,212992,1,true
1367,213084,7,true
1368,213282,1,true
1369,213389,1,true
1370,213444,11,true
1371,213450,1,true
1372,213460,1,true
1373,213572,1,true
1374,213634,1,true
1375,213719,1,true
1376,213734,2,true
1377,213873,2,true
1378,213940,1,true
1379,213941,1,true
1380,213966,1,true
1381,214020,42,true
1382,214027,1,true
1383,214054,1,true
1384,214098,1,true
1385,214144,1,true
1386,214159,1,true
1387,214212,1,true
1388,214258,1,true
1389,214351,1,true
1390,214391,1,true
1391,214480,2,true
1392,214523,1,true
1393,214651,1,true
1394,214745,1,true
1395,214786,1,true
1396,214958,1,true
1397,214963,1,true
1398,215116,1,true
1399,215135,1,true
1400,215193,1,true
1401,215210,1,true
1402,215228,1,true
1403,215254,1,true
1404,215358,5,true
1405,215458,1,true
1406,215604,1,true
1407,215740,1,true
1408,216053,1,true
1409,216146,1,true
1410,216161,1,true
1411,216178,1,true
1412,216253,1,true
1413,216294,1,true
1414,216565,1,true
1415,216626,1,true
1416,216636,1,true
1417,216640,1,true
1418,216647,11,true
1419,216720,1,true
1420,216811,11,true
1421,216817,2,true
1422,216818,1,true
1423,216845,1,true
1424,216995,1,true
1425,217122,1,true
1426,217183,1,true
1427,217293,2,true
1428,217429,1,true
1429,217483,2,true
1430,217637,2,true
1431,217691,2,true
1432,217901,1,true
1433,218021,1,true
1434,218094,1,true
1435,218139,3,true
1436,218172,2,true
1437,218232,1,true
1438,218391,1,true
1439,218450,1,true
1440,218470,1,true
1441,218493,1,true
1442,218563,1,true
1443,218663,1,true
1444,218759,1,true
1445,218924,1,true
1446,218991,2,true
1447,219057,1,true
1448,219100,1,true
1449,219156,4,true
1450,219188,1,true
1451,219579,5,true
1452,219580,1,true
1453,219607,1,true
1454,219624,1,true
1455,219691,1,true
1456,219899,5,true
1457,219988,1,true
1458,220140,5,true
1459,220157,2,true
1460,220251,1,true
1461,220387,1,true
1462,220569,4,true
1463,220744,1,true
1464,220760,1,true
1465,220782,1,true
1466,220786,1,true
1467,220820,1,true
1468,220911,1,true
1469,220927,1,true
1470,221103,1,true
1471,221111,1,true
1472,221187,1,true
1473,221189,1,true
1474,221205,1,true
1475,221353,11,true
1476,221378,1,true
1477,221387,1,true
1478,221425,3,true
1479,221463,1,true
1480,221494,1,true
1481,221592,2,true
1482,221736,3,true
1483,221742,1,true
1484,221753,1,true
1485,221780,1,true
1486,221929,42,true
1487,221935,2,true
